Index	H0	error_plus	error_minus	year	Dataset	Reference
247	79.0	7.0	-7.0	1999.403	S	Jensen \etal   SBF Far field e-mail
248	68.0	10.0	-10.0	1999.409	A	Lineweaver, C. 1999, Science 284, 1503.
249	73.0	11.0	-13.0	1999.41	Z	Mason and Myers, S. 19.04D  AAS Meeting
250	78.0	11.0	-11.0	1999.419	DK	Kelson, D. \etal KP AAS  FP
251	71.0	8.0	-8.0	1999.42	BK	Sakaim S. \etal KP AAS   TF
252	69.0	7.0	-7.0	1999.43	OK	Ferrarese, L. \etal KP AAS PopII (SBF)
253	68.0	5.0	-5.0	1999.44	SK	Gibson, B. \etal KP AAS SNIa
254	68.0	6.0	-6.0	1999.445	AK	Mould \etal KP AAS Combination + Fe corr
255	71.0	6.0	-6.0	1999.445	AK	Mould \etal KP AAS Comb no Fe corr
256	79.0	7.0	-7.0	1999.446	S	Tonry \etal AAS
257	60.0	12.0	-12.0	1999.447	Z	Reese \etal 46.03 AAS Meeting  SCDM
258	63.0	12.0	-12.0	1999.447	Z	Reese \etal 46.03              Open U
259	67.0	12.0	-12.0	1999.447	Z	Reese \etal 46.03              Lambda U
260	69.0	18.0	-12.0	1999.448	L	Chae, K.-H. 1999, ApJ in press. astroph9906179 0957 lens
261	64.0	8.0	-6.0	1999.458	S	Jha, S. \etal ApJS in press. SN1998bu Astroph9906220
262	65.0	8.0	-8.0	1999.464	A	Rowan-Robinson, M. 1999,  astroph 9906277. Summary
263	63.0	4.0	-4.0	1999.516	S	Phillips, M. \etal 1999, AJ in press. Ast9907052
264	77.0	7.0	-7.0	1999.52	F	Tonry, J. \etal 1999, Astroph9907062, ApJ in press.
265	74.0	7.0	-7.0	1999.538	F	Blakeslee, J \etal 1999 in Cosmic Flows workshop.
266	59.0	8.0	-7.0	1999.556	LC	Fassnacht \etal, 1999, ApJ 527, 498. Astroph9907257.  B1608+656
267	68.0	13.0	-13.0	1999.557	LC	Koopmans, L. \& Fassnacht, C. 1999, ApJ 527, 513. for M=0.3 L=0.7
268	74.0	18.0	-17.0	1999.56	L	Chae at Gravitational lensing conf. 0957
269	55.0	15.0	-14.0	1999.56	L	Chae at Gravitational lensing conf. 0957
270	71.0	7.0	-5.0	1999.561	L	Lovell, J. \etal at Gravitational Lensing Conf PKS1830-211
271	69.0	13.0	-10.0	1999.562	L	Wilkott, T \& Cas.... at Gravitational Lensing Conf PKS1830-211
272	65.0	1.0	-1.0	1999.575	S	Wang, Y. 2000,  ApJ 536, 531. Astroph 9907405,
273	68.0	5.0	-5.0	1999.618	SK	Gibson, B. \etal 2000, ApJ 529,723. Astroph 9908149, KP SN Result
274	66.0	6.0	-6.0	1999.669	O	Hendry, M. \& Rauzy, S. 1999,in Cosmic Flows, Courteau \etal eds.
275	69.0	6.0	-6.0	1999.672	FK	Ferrarese, L. \etal. 2000, ApJ 529,745. Astroph9908192. Pop II indicators
276	71.0	7.0	-7.0	1999.675	AK	Freedman, W. 1999, Astroph 9909076, in Schramm Memorial Volumes.
277	72.0	4.0	-4.0	1999.689	S	Richtler, T. \& Drenkhahn, G. 1999, in Cosmology and Astrophysics, Kundt W.,van deBruckC. (Eds.) Astoph9909117. SN and Fornax
278	71.0	6.0	-6.0	1999.692	AK	Ferrarese, L. \etal 1999, in Cosmic Flows, Courteau \etal eds. Astroph 9909134
279	78.0	10.0	-10.0	1999.706	DK	Kelson, D. \etal 2000, ApJ 529,768. astroph9909222. KP FP + Dn-sig
