Index	H0	error_plus	error_minus	year	Dataset	Reference
89	67.2	1.2	-1.0	2018.0	BAO+BBN+WL-CC	Abbott:2017smn
90	68.52	2.68	-2.68	2018.0	SnIa+BAO+CC	Haridasu:2018gqm
91	50.0	2.0	-2.0	1996.0	AS	Tammann, G. \& Sandage, A. 1996in IAU Symp 168, {\it Examining the Black Bodyand DiffuseBackground Raduation}, M. Kafatos, ed. (Dordrecht: Kluwer) p163.
92	77.0	22.0	-2.0	1996.02	AV	VandenBergh, S. 1996, in IAU Symp 168, {\it Examining the Black Body and Diffuse BackgroundRaduation}, M. Kafatos, ed. (Dordrecht: Kluwer) p157. Wierd limits
93	56.0	5.0	-5.0	1996.05	OS	Sandage, A. 1996, AJ 111, 1.  Spiral Luminosity Functions
94	55.0	5.0	-5.0	1996.07	OS	Sandage, A. 1996, AJ 111, 18. M31+M101 look alikes.
95	55.0	10.0	-10.0	1996.1	AS	Tammann, G., Labhardt, L., Federspiel, M.
96	84.0	4.0	-4.0	1996.143	PK	Ford, H. \etal 1996, ApJ 458, 455
97	76.0	8.0	-8.0	1996.15	O	Zasov 1996, AstronLett 22, 71  Theory, Disk Stability
98	67.0	9.0	-9.0	1996.17	S	Hoeflich, P. \& Khokhlov, A. 1996, ApJ 457, 500. SN Theory
99	57.0	4.0	-4.0	1996.22	SS	Sandage, A. \etal 1996, ApJL 460, L15. N4639 + six  Ia's
100	65.0	8.0	-8.0	1996.25	S	Hendry \& Kanbur 1996, in Mapping, Measuring and Modeling the Universe, Coles\etaleds,ASP \#94,p357.
101	55.0	3.0	-3.0	1996.26	S	Schaefer, B. 1996, ApJL 460, L19. SN 1960F
102	57.0	4.0	-4.0	1996.333	S	Schaefer, B. 1996, AJ 111, 1668 SN1937C
103	40.0	10.0	-10.0	1996.375	Z	Lasenby \& Jones 1997, in CDS, Livio \etal eds (Cambridge: Cambridge) p76.
104	70.0	5.0	-5.0	1996.377	R	Giovanelli, R. 1997, in  in CDS, Livio \etal eds (Cambridge: Cambridge) p113
105	60.0	3.0	-3.0	1996.379	SS	Saha, A. 1997, in CDS, Livio \etal eds (Cambridge: Cambridge) p128
106	54.0	4.0	-4.0	1996.381	SS	Tammann, G. \& Federspeil, M. 1997,  in CDS, Livio \etal eds (Cambridge: Cambridge)p137.
107	73.0	10.0	-10.0	1996.383	TK	Mould \etal 1997, in CDS, Livio \etal eds (Cambridge: Cambridge) p7158
108	73.0	10.0	-10.0	1996.385	TK	Freedman, W. Madore, B. \& Kennicutt, R. 1997,  in CDS, Livio \etal eds (Cambridge:Cambridge)p7171
109	74.0	11.0	-11.0	1996.38	TK	Bureau, M., Mould, J. \& Staveley-Smith, L. 1996, ApJ 463, 60.  TF to Fornax
110	82.0	13.0	-13.0	1996.387	G	Whitmore, B. 1997,  in CDS, Livio \etal eds (Cambridge: Cambridge) p7254
111	81.0	6.0	-6.0	1996.389	F	Tonry, J. 1997,  in CDS, Livio \etal eds (Cambridge: Cambridge) p7297*
112	62.0	9.0	-9.0	1996.44	GS	Sandage, A. \& Tammann, G. 1996, ApJ 464, L51 GCLF Virgo
113	85.0	10.0	-13.0	1996.444	L	Grogin, N. \& Narayan, R. 1996, ApJ 464, 92 (0957+561)
114	60.0	10.0	-10.0	1996.48	A	Gouguemheim, L. \etal 1996, Rev Mod Astr 9, 127.
115	55.0	10.0	-10.0	1996.5	AS	Tammann, G. 1996, Rev Mod Astr 9, 139.
116	68.0	7.0	-7.0	1996.53	S	Ruiz La Puente, P. 1996,  ApJ 465 83. % SnI Theory
117	56.0	3.0	-3.0	1996.554	SS	Saha, A. \etal 1996, ApJ 466, 55. N4536.
118	73.0	7.0	-7.0	1996.58	2	Eastman, R., Schmidt, B. \& Kirshner, R. 1996, ApJ 466, 911. %    SnII
119	69.0	8.0	-8.0	1996.667	A	Amendola A&A 312,353. %   summary
120	72.0	10.0	-12.0	1996.68	G	Forbes, D. AJ 112, 954. %  GCLF N4365
121	57.0	5.0	-5.0	1996.78	S	Branch, D. \etal 1996, ApJ 470, 7. % SnI
122	63.0	12.0	-12.0	1996.84	L	Kundic, Turner \etal 0957 G Lens
123	51.0	14.0	-13.0	1996.89	L	Keeton and Kochanek, Astroph199611216v2 PG1115+080
124	58.0	9.0	-9.0	1996.91	O	Sofue \etal 191996, PASJ 48, 657 (CO TF relation)
125	55.0	5.0	-5.0	1996.92	SS	Sandage, A. \& Tammann, G. in {\it Critical Dialogues in Cosmology}, N. Turok, ed (Singapore:World Scientific) p., Astroph199611170
126	73.0	10.0	-10.0	1996.92	AK	Freedman. W. 1997, in {\it Critical Dialogues in Cosmology}, N. Turok, ed (Singapore: WorldScientific) p92., Astroph199612024
127	63.0	3.0	-3.0	1996.92	S	Hamuy, M. \etal 1996, AJ 112, 2398.  SnI
128	65.0	8.0	-8.0	1996.93	GK	Forbes, D., Brodie, J. \& Huchra, J. 1996,  AJ 112, 2448, GCLF N5846
129	55.0	10.0	-10.0	1996.93	AS	Tammann, G. 1996, PASP 108, 1083.  A Discourse.
130	72.0	6.0	-9.0	1996.94	AV	Van den Bergh, S. 1996, PASP 108, 1091
131	70.0	10.0	-10.0	1996.95	Z	Kobayashi \etal PASJ 48, L107  SZ- Summary
132	98.0	12.0	-11.0	1996.96	L	Grogin, N. \& Narayan, R. 1996, ApJ 473, 570 (0957+561 erratum)
133	72.0	12.0	-12.0	1996.97	H	Malhotra, Spergel and Rhodes ApJ 473, 687
134	58.0	7.0	-8.0	1996.98	SS	Saha, A. \etal 1996, ApJ 486, 1, 1997. N4639 SnI
135	55.0	10.0	-10.0	1997.0	AS	Sandage \& Tammann 1997, Critical Dialogues in Cosmology, N   Turok, ed (Singapore:WorldScientific) p130.
136	93.0	12.0	-10.0	1997.01	O	Chiba, M. \& Yoshi, Y. 1997, in Origin f Matter and Evolution of galaxies, Kajino \etal eds, WorldScientific, p137. Disk Structure
137	70.0	7.0	-7.0	1997.02	D	Hjorth & Tanvir , N.1997, ApJ 482, 68.  Astroph9701025
138	67.0	8.0	-8.0	1997.02	D	Hjorth & Tanvir 1997, ApJ 482, 68.  Astroph9701025
139	68.0	6.0	-6.0	1997.03	G	Baum, W. \etal AJ in press GCLF to Coma (also BAAS28, 1288)
140	73.0	8.0	-8.0	1997.04	TK	Madore \etal Fornax  BAAS 28 1420
141	67.0	9.0	-9.0	1997.05	S	Hoeflich, P. \etal SnI Theory BAAS 189 451
142	64.0	20.0	-22.0	1997.06	L	Schechter, P. \etal Grav lens 1997 ApJ 475, 85 1115+080
143	81.0	6.0	-6.0	1997.08	F	Tonry, J. \etal SBF 1997 ApJ 475 399
144	80.0	8.0	-9.0	1997.09	SV	"vandenBergh, S. 1997, in {\it The Evolution of the Universe}, G. B\""orner \&S. Gottl\""ober, eds.(New York: Wiley) pg 35."
145	74.0	5.0	-5.0	1997.1	S	"Ellis, G. F. R. 1997, in {\it The Evolution of the Universe}, G. B\""orner \&S. Gottl\""ober, eds.(New York: Wiley) pg 50."
146	82.0	10.0	-10.0	1997.11	B	Yasuda, Fukugita & Okamura BTF in Virgo   ApJS 108, 417
147	68.0	8.0	-8.0	1997.13	T	Shanks, T. preprint
148	62.0	7.0	-7.0	1997.137	L	Falco, E. \etal ApJ in press. Astroph9702152. 0957 lens
149	92.0	12.0	-12.0	1997.15	O	Bizyaev, D. Astronom. Zhurnal 74, 172 (1997) Spiral Disks
150	69.0	5.0	-5.0	1997.17	R	Giovanelli, R. \etal ApJ 477, L1  ITF
151	75.0	6.0	-6.0	1997.18	D	Gregg, M. 1997, New Astron 1, 363. Astroph 9703031 Leo/Coma Fund Plane
152	69.0	8.0	-8.0	1997.19	A	Kochanek, C. Astroph 9703059  SnI + new Cephs
153	74.0	14.0	-14.0	1997.21	rK	Sakai, S. \etal 1997, ApJ 478, 49  Leo  RGB
154	68.0	3.0	-3.0	1997.225	SI	Kirshner, R. 1997,  Irvine  PNAS   SN I and II
155	70.0	10.0	-10.0	1997.23	AKI	Freedman, W. 1997,   Irvine  PNAS   Summary, Ho Key Project Team
156	67.0	3.0	-3.0	1997.235	CI	Bond, R. 1997, Irvine CMB Spectrum
157	65.0	10.0	-10.0	1997.24	LI	Narayan, R. 1997, Irvine  PNAS Lenses
158	60.0	10.0	-10.0	1997.245	ZI	Carlstrom, J. 1997, Irvine PNAS SZ
159	58.0	10.0	-5.0	1997.25	A	Hoyle, F., Burbidge, G. \& Narlikar, J. 1997, MNRAS 286, 173 summary
160	65.0	16.0	-16.0	1997.306	L	Oscoz, A. \etal ApJL 479, L92.  0957 G Lens
161	52.0	6.0	-6.0	1997.333	O	Goodwin, Gribbin & Hendry Astroph 9704289. Diameters
162	78.0	60.0	-40.0	1997.36	Z	Holzapfel, W. \etal ApJ 480, 449. SZ on A2163
163	52.0	14.0	-14.0	1997.368	L	Kundic \etal Astroph9704109, PG1115+080
164	53.0	10.0	-7.0	1997.371	L	Courbin \etal A&A in press. Astroph9705093. PG1115+080 Lens
165	66.0	5.0	-5.0	1997.376	S	"Wheeler, J. \& H\""oflich, P. 1998, Rev.Mex A\&A Conf. Series 7, 73.  65.73 km/s/Mpc..."
166	71.0	11.0	-11.0	1997.384	F	Thomsen, B., Baum, W., Hammergren, M. & Worthy, G. 1997, ApJL 483, L37. ComaSBF
167	55.0	5.0	-5.0	1997.4	B	Theureau, G. 1997, J. Astron. Francais 55, 57. B Band TF
168	44.0	7.0	-7.0	1997.41	Z	Rephaeli, Y. \& Yankovich, D. 1997, ApJL 481, L55. Relativistic Corrections to SZ lower H0
169	60.0	2.0	-2.0	1997.42	O	Witasse, O. \& Paturel, G. 1997, A\&A 321, 10. Sosies. Internal error only
170	70.0	10.0	-10.0	1997.436	TK	Freedman 1997, in 18th Texas Symposium, Olinto, Frieman and Schramm eds (Singapore:WorldScientific)  (Astroph9706072)
171	54.0	14.0	-14.0	1997.22	Z	Myers, S., Baker, J., Readhead, A. Leitch, E. \& Herbig, T. 1997, ApJ 485, 1.% Astroph973123, OVRO preprint 97-6. SZ in A478, A2142 and A2256
172	53.0	5.0	-5.0	1997.5	B	Theureau, G. \etal 1997, A\&A 322, 730. via magnitudes
173	57.0	5.0	-5.0	1997.5	B	Theureau, G. \etal 1997, A\&A 322, 730. via diamters
174	50.0	20.0	-20.0	1997.625	C	Hancock \etal Astroph9708254, CMB Fluct MNRAS 294, L1 (1998)
175	89.0	10.0	-10.0	1997.659	F	Lauer \etal 1998, ApJ 499, 577. Astroph9708252. Far field H0, clusters
176	82.0	8.0	-8.0	1997.661	F	"Lauer \etal 1998, ApJ 499, 577.   ""             ""        ""   BCG's"
177	53.0	3.0	-3.0	1997.667	O	Sciama 1997, MNRAS 289,945 (decaying neutrino theory)
178	66.0	12.0	-12.0	1997.7	S	Iwamoto, K. \& Nomoto, K. 1997, in IUA Symp 183, Cosmological Paramters and the Evolutionof the Universe.. SN Theory
179	61.0	9.0	-9.0	1997.689	L	Williams & Schechter Astroph9709059 Lensing
180	56.0	7.0	-7.0	1997.75	SS	Sandage & Tammann, Hipparcos+SnI preprint
181	57.0	5.0	-5.0	1997.8	B	Theureau, G. \etal 1997, in IAU Symp 183.
182	50.0	3.0	-3.0	1997.944	S	Lanoix, 1998, A\&A 331, 421.  Astroph9712137
183	65.0	10.0	-10.0	1997.958	S	"Hendry, M. 1997, Observatory 117, 329. Summary of ""How Far Can You GHo"" Workshop."
184	60.0	10.0	-10.0	1998.021	S	Branch 1998, ARA\&A 36, 17. Astroph9801065
185	47.0	23.0	-15.0	1998.051	Z	Hughes & Birkinshaw 1998, ApJ501,1. Astroph9801183 Cl0016+16
186	65.0	20.0	-14.0	1998.074	B	Watanabe, Ichikawa & Okamura, 1998, ApJ 503, 553. Astroph9801256
187	66.0	15.0	-14.0	1998.081	L	Goicoechea, Mediavilla, Oscoz, Serra and Buitrago Astroph9801315
188	82.0	16.0	-16.0	1998.092	R	Tully, R. B. 1999, IAU Symp 183 {\it Cosmological Parameters and the Evolution of the Universe}, K. Sato ed. p 54. TF (Astroph9802027)
189	30.0	18.0	-7.0	1998.1	CM	Lineweaver, C. \& Barbosa, D. 1998, A\&A 329, 799. %  CBP Acoustic Fit
190	47.0	6.0	-6.0	1998.113	CM	Webster, A., Bridle, S., Hobson, M., Lasenby, A., Lahav, O. \& Rocha, G. 1998, ApJL509,L65Astroph9802109 CMB Accoustic peak, Omega = 1 assumed
191	42.0	12.0	-9.0	1998.14	Z	Grainge, K. 1998, in Observational Cosmology with New Radio Surveys, Bremer \etal eds (Dordrecht:Kluwer) p 83. SZ to A2218 and A1413
192	62.0	7.0	-7.0	1998.16	L	Wambsganss, J. 1998, in Observational Cosmology with New Radio Surveys, Bremer \etal eds(Dordrecht: Kluwer) p 317. SZ to A2218 and A1413
193	72.0	12.0	-12.0	1998.2	TK	Madore \etal 1998, ApJ in press Implications paper.
194	58.0	11.0	-11.0	1998.158	CM	Lineweaver, C. \& Barbosa, D. 1988 ApJ 496, 624. % Astroph9706077
195	57.0	7.0	-7.0	1998.169	BS	Federspiel, Tammann & Sandage  ApJ 495, 115 Virgo Distance from 21-cm Linewidths
196	60.0	11.0	-11.0	1998.194	O	Salaris \& Cassisi MNRAS 298, 166. Astroph9803103 Red Giant Tip Calibration
197	56.0	3.0	-3.0	1998.2	B	Theureau, G. 1998, A\&A 331, 1. B Band TF HST Cal
198	51.0	4.0	-4.0	1998.2	B	Theureau, G. 1998, A\&A 331, 1. B Band TF Hipparcos Cal
199	57.0	8.0	-8.0	1998.212	O	Narasimha & Mazumdar Astroph9803195 Ceph to M100 + Virgo z
